SITE_ID,YEAR,VISIT_NO,DATE_COL,LOC_NAME,LAT_DD83,LON_DD83,HUC8
FW08NV041,2008,1,8-Jul-08,North Fork Humbolt,41.32039998,-115.657142,16040102
FW08NV039,2008,1,5-Jun-08,Little Humboldt Creek,41.77125165,-117.3829874,16040109
FW08NV062,2008,1,23-Jul-08,Humboldt River,41.00564814,-117.3393351,16040105
FW08NV063,2008,1,10-Jul-08,Pine Creek,40.394948,-116.1206756,16040104
FW08NV065,2008,1,17-Jul-08,Reese River,38.78147873,-117.3401678,16040107
FW08NV066,2008,1,28-Jul-08,Humboldt River,40.69720892,-118.1006986,16040108
FW08NV069,2008,2,9-Sep-08,Salmon Falls Creek,41.88666095,-114.6866143,17040213
FW08CA020,2008,1,18-Sep-08,Klamath River,41.31852852,-123.5279597,18010209
FW08CA031,2008,1,15-Sep-08,Russian River,38.81627171,-123.0111924,18010110
FW08CA035,2008,1,10-Sep-08,Feather River,38.80836238,-121.6352071,18020106
FW08CA040,2008,1,20-Sep-08,Klamath River,41.53926058,-123.5267321,18010209
FW08CA056,2008,1,19-Sep-08,Klamath River,41.45639606,-123.9355648,18010209
FW08CA061,2008,1,12-Sep-08,Tuolumne River,37.59637606,-121.1287613,18040002
FW08CA063,2008,1,16-Sep-08,Eel River,40.31843895,-123.771013,18010105
FW08CA067,2008,1,9-Sep-08,American River,38.57234221,-121.3577452,18020111
FW08CA068,2008,1,21-Sep-08,Klamath River,41.84331069,-122.8997348,18010206
FW08OR001,2008,1,14-Sep-08,Wind Creek,43.64952824,-124.0956116,17100303
FW08OR002,2008,1,22-Jul-08,Hinton Creek,45.36811658,-119.446251,17070104
FW08OR004,2008,1,23-Jul-08,Johnny Creek,44.62318544,-119.6383494,17070201
FW08OR005,2008,1,21-Jul-08,Sawmill Creek,44.89842988,-117.4241613,17050203
FW08OR006,2008,1,15-Sep-08,Siuslaw River,43.87510264,-123.5025807,17100206
FW08OR008,2008,1,17-Jul-08,Dry Creek,45.11449914,-116.8564475,17060102
FW08OR009,2008,1,9-Jul-08,Tributary to Nestucca River,45.30045298,-123.4774717,17100203
FW08OR010,2008,1,3-Aug-08,Fish Creek,43.09695281,-122.4115116,17100301
FW08OR015,2008,1,19-Aug-08,Rogue River,42.41324015,-123.1579741,17100308
FW08OR016,2008,1,12-Aug-08,South Santiam River,44.49070934,-122.8137154,17090006
FW08OR016,2008,2,17-Sep-08,South Santiam River,44.49070934,-122.8137154,17090006
FW08OR019,2008,1,7-Jul-08,Alsea River,44.37292269,-123.8363474,17100205
FW08OR022,2008,1,1-Aug-08,North Fork Umpqua River,43.31057123,-123.2115221,17100301
FW08OR027,2008,1,30-Sep-08,Willamette River,44.06547124,-123.1063463,17090003
FW08OR035,2008,1,8-Jul-08,Siletz River,44.80638327,-123.9729588,17100204
FW08OR043,2008,1,11-Sep-08,Tributary to Sharps Creek,43.61498688,-122.7664621,17090002
FW08OR044,2008,1,13-Aug-08,North Fork Santiam,44.75269237,-122.5140529,17090005
FW08OR047,2008,1,21-Aug-08,Tributary to North Fork Smith River,42.07214556,-124.0083463,18010101
FW08OR050,2008,1,13-Sep-08,West Creek,43.1011809,-122.8297464,17100302
FW08OR045,2008,1,19-Jul-08,North Fork John Day,44.90149003,-118.4770479,17070202
FW08OR051,2008,1,29-Sep-08,Willamette River,44.31650762,-123.2186318,17090003
FW08OR052,2008,1,20-Jul-08,North Fork Rock Creek,44.85146182,-118.1429123,17050203
FW08OR054,2008,1,20-Aug-08,Rogue River,42.46828279,-124.3453411,17100310
FW08OR058,2008,1,5-Aug-08,McKenzie River,44.14641093,-122.5770456,17090004
FW08OR058,2008,2,16-Sep-08,McKenzie River,44.14641093,-122.5770456,17090004
FW08OR059,2008,1,2-Aug-08,Umpqua River,43.57753366,-123.501659,17100303
FW08OR069,2008,1,18-Jul-08,Bowman Creek,45.19312941,-118.704127,17070202
FW08OR060,2008,1,14-Aug-08,Santiam River,44.77924123,-122.816474,17090005
FW08CO001,2008,1,11-Jul-08,Hartman Draw,37.36588354,-108.5932791,14080202
FW08CO001,2008,2,5-Aug-08,Hartman Draw,37.36588354,-108.5932791,14080202
FW08CO003,2008,1,15-Jul-08,East Douglas Creek,39.73087609,-108.6747246,14050007
FW08CO003,2008,2,4-Aug-08,East Douglas Creek,39.73087609,-108.6747246,14050007
FW08CO006,2008,1,16-Jul-08,East Douglas Creek,39.6430304,-107.7110185,14010005
FW08CO010,2008,1,2-Jul-08,Plum Creek,39.34428,-104.9728388,10190002
FW08CO012,2008,1,30-Jun-08,West Plum Creek,39.2413809,-104.9580488,10190002
FW08CO013,2008,1,28-Jul-08,Purgatoire River,37.79720049,-103.3774933,11020010
FW08CO014,2008,1,18-Jun-08,Big Dry Creek,39.89246561,-105.0565383,10190003
FW08CO017,2008,1,11-Sep-08,Middle Fork Little Snake River,40.97146712,-107.0196069,14050003
FW08CO019,2008,1,1-Jul-08,East Plum Creek,39.38895974,-104.8672149,10190002
FW08CO020,2008,1,29-Jul-08,Wolf Creek,38.06505925,-102.3363777,11020009
FW08CO021,2008,1,14-Jul-08,Douglas Creek,39.98812383,-108.7779574,14050007
FW08CO025,2008,2,25-Sep-08,Gunnison River,38.86531333,-108.398139,14020005
FW08CO025,2008,1,15-Aug-08,Gunnison River,38.86531333,-108.398139,14020005
FW08CO027,2008,1,2-Sep-08,Homestake Creek,39.36936448,-106.4524344,14010003
FW08CO031,2008,1,12-Aug-08,St. Vrain Creek,40.15970307,-105.1184267,10190005
FW08CO038,2008,1,17-Sep-08,South Fork South Platte River,39.07659754,-106.0063979,10190001
FW08CO073,2008,1,9-Jul-08,Rio San Antonio,37.06135096,-105.982904,13010005
FW08CO076,2008,1,30-Jul-08,South Fork Republican River,39.63865573,-102.1136539,10250003
FW08CO103,2008,1,1-Oct-08,Middle Quartz Creek,38.60455418,-106.4649269,14020003
FW08IL006,2008,1,12-Sep-08,Unnamed Waterbody,37.52548104,-89.18786253,5140206
FW08IL011,2008,1,24-Sep-08,Green River,41.48585196,-89.84847663,7090007
FW08IL011,2008,2,7-Oct-08,Green River,41.48585196,-89.84847663,7090007
FW08IL017,2008,1,8-Oct-08,Spoon River,40.78505884,-90.13890701,7130005
FW08IL022,2008,1,28-Sep-08,Rock River--Dixon,41.90001688,-89.4821499,7090005
FW08IL018,2008,1,28-Sep-08,Kankakee River,41.15196235,-87.91418346,7120001
FW08IL024,2008,1,13-Sep-08,Little Muddy River,37.85241965,-89.19182797,7140106
FW08IL027,2008,1,25-Sep-08,Fox River,42.21645225,-88.18890937,7120006
FW08IL028,2008,1,11-Sep-08,Beaucoup Creek,37.85027158,-89.33574472,7140106
FW08IL029,2008,1,10-Oct-08,Sangamon River,40.06321766,-90.30726993,7130008
FW08IL031,2008,1,23-Sep-08,Rock River--Moline,41.51647365,-90.30615738,7090005
FW08IL036,2008,1,9-Oct-08,Salt Creek,40.15377162,-89.67550511,7130009
FW08IL038,2008,1,6-Oct-08,Sugar River,42.49488395,-89.26560528,7090004
FW08VT003,2008,1,1-Jul-08,Third Branch White River,43.94606478,-72.71105066,1080105
FW08VT004,2008,1,21-Aug-08,Willoughby River,44.8061487,-72.13634495,1110000
FW08VT005,2008,1,24-Jun-08,Huntington River,44.21421333,-72.96547209,2010003
FW08VT007,2008,1,18-Aug-08,White River,43.90350564,-72.8253244,1080105
FW08VT008,2008,1,30-Jul-08,Fairbrook Tributary,43.04998903,-72.72147128,1080107
FW08TX003,2008,1,2-Jul-08,Barons Creek,30.28718756,-98.89560053,12090206
FW08TX004,2008,1,9-Jul-08,Richardson Creek,32.28043629,-97.97061693,12060202
FW08TX010,2008,1,6-Jul-08,Cow Creek,30.5975647,-98.06989927,12090205
FW08TX011,2008,1,30-Jun-08,Flat Creek,33.06838281,-94.46843757,11140306
FW08TX017,2008,1,5-Jul-08,Middle Bosque River,31.54151415,-97.41663635,12060203
FW08TX031,2008,1,8-Jul-08,Salado Creek,30.87365616,-97.62101278,12070203
FW08TX045,2008,1,28-Jun-08,Unnamed,32.46103578,-94.70198008,12010002
FW08IN002,2008,1,30-Jul-08,Youngs Creek,39.41488769,-86.0084241,5120204
FW08IN003,2008,1,7-Aug-08,Greenville Creek,40.07580709,-84.84430651,5080001
FW08IN004,2008,1,11-Aug-08,Tributary to Plunge Creek,41.09378365,-85.80106993,5120104
FW08IN005,2008,1,10-Aug-08,Unnamed Stream,40.76092777,-84.98838699,4100004
FW08IN008,2008,1,1-Aug-08,East Fork White River,38.83491245,-86.52325911,5120208
FW08IN002,2008,2,5-Sep-08,Youngs Creek,39.41488769,-86.0084241,5120204
FW08IN008,2008,2,4-Sep-08,East Fork White River,38.83491245,-86.52325911,5120208
FW08IN009,2008,1,1-Jul-08,St. Joseph River,41.6946525,-85.91740108,4050001
FW08IN011,2008,1,17-Jul-08,Wabash River,40.86746481,-85.60817962,5120101
FW08IN014,2008,1,16-Jul-08,Big Pine Creek,40.31739021,-87.30044825,5120108
FW08IN015,2008,1,13-Jul-08,Tippecanoe River,40.90640874,-86.7115276,5120106
FW08IN016,2008,1,4-Aug-08,Fleming Creek,38.35094769,-86.61831604,5120209
FW08IN017,2008,1,10-Jul-08,Tippecanoe River,41.15722367,-86.58538781,5120106
FW08IN020,2008,1,5-Sep-08,Kankakee River,41.17253557,-87.38959372,7120001
FW08IN023,2008,1,8-Aug-08,Limberlost Creek,40.54494518,-84.92548748,5120101
FW08IN018,2008,1,3-Aug-08,Prairie Creek,38.71122902,-87.17757112,5120202
FW08MI023,2008,1,13-Aug-08,St. Joseph River,42.06127146,-86.42369501,4050001
FW08IN025,2008,1,2-Jul-08,Elkhart River,41.66737013,-85.94200038,4050001
FW08IN028,2008,1,6-Aug-08,Unnamed Creek,39.6101024,-84.95963267,5080003
FW08IN029,2008,1,1-Jul-08,Rogers Ditch,41.60258314,-86.11116261,4050001
FW08IN030,2008,1,15-Jul-08,Vermillion River,39.96892757,-87.47214622,5120109
FW08IN033,2008,1,11-Jul-08,Tippecanoe River,41.17260178,-86.51700711,5120106
FW08MI038,2008,1,14-Aug-08,St. Joseph River,42.0641964,-85.14743755,4050001
FW08MI019,2008,1,10-Jul-08,Grand River Belmont,43.05631052,-85.594206,4050006
FW08MI024,2008,1,9-Jul-08,Cass River,43.34147415,-83.6244102,4080205
FW08MI026,2008,1,11-Jul-08,Grand River,43.02233875,-86.02397272,4050006
FW08MI028,2008,1,1-Jul-08,Flint River,43.31096671,-83.96788131,4080204
FW08MI030,2008,1,11-Sep-08,Grand River-Portland,42.82315902,-84.93878113,4050004
FW08MI033,2008,1,12-Sep-08,Grand River--Caton Rapids,42.54166704,-84.62802761,4050004
FW08MI036,2008,1,7-Jul-08,Black River,43.00435548,-82.52504024,4090001
FW08MI037,2008,1,16-Oct-08,Detroit River,42.33162668,-83.00431104,4090004
FW08MI041,2008,1,17-Jul-08,Muskegon River,44.02949646,-85.03818625,4060102
FW08MI042,2008,1,14-Sep-08,Muskegon River--Bridgeport,43.32695473,-86.00557496,4060102
FW08MI044,2008,1,9-Sep-08,Maple River,43.04412066,-84.86365254,4050005
FW08MI046,2008,1,15-Sep-08,Muskegon River--Newaygo,43.42079117,-85.79339856,4060102
FW08MI047,2008,1,24-Jul-08,Sturgeon River,46.88432593,-88.53444297,4020104
FW08MI048,2008,1,22-Jul-08,Taquamenon River,46.55484625,-85.11660588,4020202
FW08MI050,2008,1,20-Jul-08,Thunder Bay River,45.08290496,-83.49055811,4070006
FW08MI057,2008,1,16-Sep-08,Muskegon River--Big Rapids,43.67562743,-85.46990525,4060102
FW08MI058,2008,1,9-Sep-08,Grand River,42.94219653,-85.18561311,4050006
FW08IA002,2008,1,25-Aug-08,Bell Creek,42.97978705,-91.67293625,7060004
FW08IA002,2008,2,7-Oct-08,Bell Creek,42.97978705,-91.67293625,7060004
FW08IA004,2008,1,10-Sep-08,West Tarkio Creek,40.82880459,-95.20484547,10240005
FW08IA004,2008,2,6-Oct-08,West Tarkio Creek,40.82880459,-95.20484547,10240005
FW08IA005,2008,1,14-Oct-08,Montgomery Creek,42.9935657,-95.07848105,10230003
FW08IA008,2008,1,20-Aug-08,Unnamed,42.7025234,-91.92311051,7080102
FW08IA009,2008,1,21-Aug-08,Quarter Section Run,42.76793004,-92.3558993,7080201
FW08IA011,2008,1,17-Sep-08,West Tarkio Creek,40.67346652,-95.31217703,10240005
FW08IA013,2008,1,16-Oct-08,Yellow River,43.13852294,-91.60842526,7060001
FW08IA014,2008,1,13-Oct-08,Little Wolf Creek,42.21851513,-92.74238821,7080205
FW08IA016,2008,1,18-Sep-08,East Nodaway River,40.87133759,-94.91030404,10240010
FW08IA017,2008,1,16-Sep-08,Middle Fork Little Maquoketa River,42.56080476,-90.94028977,7060003
FW08IA023,2008,1,12-Aug-08,Unnamed Creek,40.87373291,-95.597704,10240002
FW08IA027,2008,1,9-Oct-08,Eller Branch,41.37959378,-94.89794017,10240003
FW08IA028,2008,1,19-Aug-08,Beaver Creek,41.85046039,-94.0261349,7100004
FW08IA031,2008,1,15-Oct-08,Unnamed Creek,42.40438954,-95.87348016,10230003
FW08IA036,2008,1,18-Aug-08,Little Buffalo Creek,43.35914965,-93.86842916,7100003
FW08IA041,2008,1,26-Aug-08,Unnamed Creek,42.19419472,-91.39223307,7080102
FW08IA042,2008,1,1-Oct-08,Volga River,42.80455827,-91.53054161,7060004
FW08IA043,2008,1,2-Sep-08,Beaver Creek,41.587557,-94.39743921,7100007
FW08IA048,2008,1,4-Sep-08,Hay Branch,41.21823045,-93.86450662,7100008
FW08IA054,2008,1,15-Sep-08,Elk Creek,42.61752156,-91.28994821,7060004
FW08IA055,2008,1,23-Sep-08,South Elk Creek,40.68790173,-93.96833011,10280102
FW08RIN9035,2008,1,25-Aug-08,Otter Creek,39.01349127,-85.50106931,5120207
FW08RIN9046,2008,1,26-Aug-08,Big Walnut Creek,39.83419007,-86.68450208,5120203
FW08RMI9106,2008,1,25-Jul-08,North Branch Manistee River,44.59081994,-85.07814424,4060103
FW08RMI9110,2008,1,28-Jul-08,Au Sable River,44.61247157,-84.45743108,4070007
FW08RMI9004,2008,1,23-Jul-08,Muskegon River,43.42986209,-85.71936104,4060102
FW08RMI9002,2008,1,24-Jul-08,Manistee River,44.26823039,-85.99630289,4060103
FW08RMI9105,2008,1,26-Jul-08,Manistee River,44.84533027,-84.83292083,4060103
FW08MI019,2008,2,13-Sep-08,Grand River Belmont,43.05631052,-85.594206,4050006
FW08MN017,2008,1,24-Sep-08,Des Moines River,43.71939974,-95.04621986,7100001
FW08MN018,2008,1,1-Oct-08,North Fork Crow River,45.12479458,-93.99623578,7010204
FW08MN021,2008,1,25-Sep-08,Rice Creek,43.76481527,-94.0407091,7020011
FW08MN033,2008,1,30-Sep-08,South Fork Crow River,44.85127077,-93.98283292,7010205
FW08MI034,2008,1,18-Jul-08,Au Sable River,44.64747421,-84.09452464,4070007
FW08MN034,2008,1,4-Oct-08,North Fork Crow River,45.19240062,-94.28959125,7010204
FW08MN037,2008,1,26-Sep-08,Maple River,43.90668456,-94.06029727,7020011
FW08MN049,2008,1,2-Oct-08,Minnesota River,44.3401456,-93.93939837,7020007
FW08MN040,2008,1,28-Sep-08,Silver Creek,44.04150615,-92.33873681,7040004
FW08AR009,2008,1,13-Sep-08,Tribble Creek,33.88132106,-93.49051167,8040103
FW08AR035,2008,1,27-Aug-08,Mill Creek,35.76862941,-93.1659807,11110202
FW08AR007,2008,1,27-Sep-08,Dutch Creek,34.98609295,-93.60350937,11110204
FW08AR004,2008,1,6-Sep-08,Carter Creek,34.50655745,-94.18862207,8040101
FW08AR008,2008,1,20-Sep-08,Railroad Branch,34.42724497,-92.38033902,8040203
FW08MN024,2008,1,9-Sep-08,Minnesota River,44.79955982,-93.53311913,7020012
FW08MN031,2008,1,21-Sep-08,St. Croix River,45.56509173,-92.79529833,7030005
FW08MN035,2008,1,23-Sep-08,Mississippi River,45.23426325,-93.49636425,7010206
FW08MN036,2008,1,11-Sep-08,Mississippi River,44.80659498,-93.01162789,7010206
FW08DE005,2008,1,4-Aug-08,White Clay Creek,39.70012709,-75.63338589,2040205
FW08DE005,2008,2,7-Oct-08,White Clay Creek,39.70012709,-75.63338589,2040205
FW08DE010,2008,1,5-Aug-08,Nanticoke River,38.61816614,-75.63092164,2060008
FW08DE010,2008,2,15-Sep-08,Nanticoke River,38.61816614,-75.63092164,2060008
FW08DE014,2008,1,6-Aug-08,Nanticoke River,38.66813956,-75.56030858,2060008
FW08FL002,2008,1,2-Aug-08,Eight Mile Creek,30.51884624,-87.29779287,3140107
FW08FL013,2008,1,9-Aug-08,Unknown,30.84547115,-86.46667052,3140103
FW08FL016,2008,1,3-Aug-08,Escambia River,30.670151,-87.26649954,3140305
FW08FL017,2008,1,10-Aug-08,Choctawhatchee River,30.72718338,-85.82574947,3140203
FW08FL018,2008,1,11-Aug-08,Pole Branch Creek,30.29491629,-85.29384067,3130012
FW08FL021,2008,1,14-Jul-08,Rocky Creek,30.18840677,-83.60818538,3110102
FW08FL029,2008,1,9-Aug-08,Choctawhatchee River,30.58551262,-85.89379808,3140203
FW08GA001,2008,1,1-Jul-08,Stamp Creek,34.24605238,-84.68608632,3150104
FW08GA003,2008,1,6-Jul-08,Hurricane Creek,34.52674768,-84.09111904,3150104
FW08GA015,2008,1,3-Jul-08,Noonday Creek,34.06954656,-84.53634847,3150104
FW08GA018,2008,1,9-Jul-08,Ocmulgee River,32.0082543,-83.29546049,3070104
FW08GA023,2008,1,4-Jul-08,Happy Hollow Creek,33.92673274,-85.05046408,3150108
FW08MN019,2008,1,22-Sep-08,Mississippi River,45.29728822,-93.57205091,7010203
FW08IA052,2008,1,22-Sep-08,Prairie Creek,42.913511,-94.05752706,7100005
FW08LA108,2008,1,29-Sep-08,Lower Mississippi River,32.40963893,-90.99592109,8030100
FW08LA088,2008,1,8-Sep-08,Lower Mississippi River,31.53963774,-91.45260521,8060100
FW08LA096,2008,1,9-Sep-08,Lower Mississippi River,31.63061631,-91.39924704,8060100
FW08LA100,2008,1,17-Sep-08,Lower Mississippi River,30.99722189,-91.64244891,8060100
FW08LA104,2008,1,16-Sep-08,Lower Mississippi River,31.08965612,-91.59474249,8060100
FW08LA152,2008,1,15-Sep-08,Lower Mississippi River,31.43106364,-91.50559281,8060100
FW08MS070,2008,1,30-Sep-08,Lower Mississippi River,31.36445334,-91.47959844,8060100
FW08MS006,2008,1,1-Oct-08,Lower Mississippi River,31.26352607,-91.60386987,8060100
FW08MS014,2008,1,10-Sep-08,Lower Mississippi River,31.98290897,-91.13957798,8060100
FW08LA044,2008,1,18-Aug-08,Lower Mississippi River,32.31668097,-90.90508327,8060100
FW08LA028,2008,1,19-Aug-08,Lower Mississippi River,32.65297192,-91.14072265,8030100
FW08MD001,2008,1,22-Jul-08,Persimmon Creek,38.44066919,-76.69705831,2060006
FW08MD001,2008,2,4-Aug-08,Persimmon Creek,38.44066919,-76.69705831,2060006
FW08MD006,2008,1,10-Jul-08,Marshyhope Creek,38.68907843,-75.76990034,2060008
FW08MD002,2008,1,21-Jul-08,Tributary to Barnaby Run,38.82802711,-76.98111233,2070010
FW08MD004,2008,1,25-Jun-08,Tributary to Piney Creek,39.6484796,-77.18088663,2070009
FW08MD007,2008,1,1-Jul-08,Savage River,39.59669875,-79.08394335,2070002
FW08MD008,2008,1,17-Jul-08,Potomac River upstream of Seneca Creek,39.06636774,-77.38957313,2070008
FW08MD012,2008,1,16-Jul-08,Potomac River downstream of Mason Island,39.17989196,-77.50736361,2070008
FW08MD009,2008,1,15-Jul-08,Potomac River below Dam Five,39.59856332,-77.88460578,2070004
FW08MD020,2008,1,14-Jul-08,Potomac River near Snyders Landing,39.45734207,-77.79812723,2070004
FW08MD018,2008,1,24-Jul-08,Potomac River,38.61579755,-77.1685603,2070010
FW08MD024,2008,1,8-Jul-08,Potomac River upstream of Mason,39.18482927,-77.48622904,2070008
FW08MD006,2008,2,30-Jul-08,Marshyhope Creek,38.68907843,-75.76990034,2060008
FW08MD003,2008,1,26-Jun-08,White Sulfur Run,39.64269107,-78.4987201,2070003
FW08MD005,2008,1,9-Jul-08,Massey Branch,38.27006247,-75.27663014,2060009
FW08MD014,2008,1,23-Jul-08,Potomac River,38.65172081,-77.12457501,2070010
FW08MT001,2008,1,16-Jul-08,Tributary to Tenderfoot Creek,46.93088969,-110.8698447,10030103
FW08MT001,2008,2,19-Aug-08,Tributary to Tenderfoot Creek,46.93088969,-110.8698447,10030103
FW08MT002,2008,1,29-Jul-08,Bear Creek near Belfry,45.14160685,-109.039941,10070006
FW08MT002,2008,2,23-Sep-08,Bear Creek near Belfry,45.14160685,-109.039941,10070006
FW08MT005,2008,1,9-Sep-08,Pintler Creek,45.90723297,-113.4809371,10020004
FW08MT007,2008,1,29-Sep-08,West Fork Lolo Creek,46.68544062,-114.5589588,17010205
FW08MT008,2008,1,23-Jul-08,Fish Creek,46.25086868,-109.769586,10040201
FW08MT014,2008,1,1-Jul-08,Squaw Creek,47.08177722,-111.5943272,10030103
FW08MT020,2008,1,30-Sep-08,West Fork Elk Creek,48.00504903,-116.0016672,17010213
FW08MT023,2008,1,24-Jul-08,Little Timber Creek,45.83768591,-110.045797,10070002
FW08MT029,2008,1,8-Jul-08,Musselshell River,46.56603822,-107.9657348,10040202
FW08MT030,2008,1,21-Jul-08,Shields River,46.16676666,-110.5490957,10070003
FW08MT045,2008,1,10-Jul-08,Box Elder Creek,47.0151948,-108.1650054,10040204
FW08MT051,2008,1,26-Aug-08,Noble Fork,45.53162435,-112.1075066,10020003
FW08MT054,2008,1,10-Sep-08,Lost Creek,46.15890312,-112.9050686,17010201
FW08MT055,2008,1,14-Jul-08,Mule Creek,46.5855868,-111.2657088,10030103
FW08MT060,2008,1,30-Jul-08,Little Bighorn River,45.03420574,-107.5853158,10080016
FW08MT062,2008,1,22-Sep-08,Jefferson River,45.90936211,-111.5668902,10020005
FW08MT071,2008,1,20-Aug-08,Unnamed,47.11536955,-111.3767773,10030103
FW08MT013,2008,1,25-Sep-08,Twelve Mile Creek,45.91293536,-108.4087977,10070007
FW08MT024,2008,1,6-Aug-08,Swan River,48.07746729,-114.0187155,17010211
FW08MT035,2008,1,25-Aug-08,Medicine Lodge Creek,44.97626082,-112.9965913,10020001
FW08MT038,2008,1,1-Oct-08,Bassoo Creek,47.83706182,-114.7376506,17010212
FW08MT039,2008,1,15-Jul-08,South Fork Musselshell River,46.45774768,-110.3713081,10040201
FW08MT042,2008,1,5-Aug-08,Swan River,47.90948388,-113.8707,17010211
FW08MT043,2008,1,16-Sep-08,Missouri River above Great Falls,47.45160978,-111.3012823,10030102
FW08MT048,2008,1,7-Jul-08,Rosebud Creek,46.11059188,-106.4503921,10100003
FW08MT050,2008,1,24-Sep-08,Stillwater River,45.59731978,-109.3116046,10070005
FW08MT004,2008,1,17-Jul-08,Highwood Creek,47.49900796,-110.7164261,10030102
FW08NJ002,2008,1,19-Jul-08,Pophandusing Brook,40.81493935,-75.04027188,2040105
FW08NJ003,2008,1,16-Jul-08,Mill Brook,41.04211949,-74.04730262,2030103
FW08NJ008,2008,1,13-Aug-08,Delaware River off Old Mine Road,41.25012378,-74.8555479,2040104
